number,value,state,params_C,duration
0,0.7426464530892448,COMPLETE,0.0745934328572655,0 days 00:00:00.403304
1,0.7417557843885075,COMPLETE,56.69849511478853,0 days 00:00:00.352681
2,0.7417936689549962,COMPLETE,4.5705630998014515,0 days 00:00:00.351002
3,0.741963259598271,COMPLETE,0.9846738873614566,0 days 00:00:00.384742
4,0.7253830409356725,COMPLETE,0.006026889128682512,0 days 00:00:00.339606
5,0.7253639715230105,COMPLETE,0.0060252157362038605,0 days 00:00:00.338059
6,0.7043446478515127,COMPLETE,0.0019517224641449498,0 days 00:00:00.345770
7,0.7417557843885075,COMPLETE,21.42302175774105,0 days 00:00:00.358816
8,0.741963259598271,COMPLETE,1.0129197956845732,0 days 00:00:00.387886
9,0.7417936689549962,COMPLETE,3.4702669886504163,0 days 00:00:00.354008
10,0.7428005339435545,COMPLETE,0.1152321528294806,0 days 00:00:00.378279
11,0.7423421052631579,COMPLETE,0.0891440104147679,0 days 00:00:00.368069
12,0.7425694126620901,COMPLETE,0.07592037999025199,0 days 00:00:00.370470
13,0.7418206203915586,COMPLETE,0.06142975707915045,0 days 00:00:00.364232
14,0.7425119501652683,COMPLETE,0.22961883725815915,0 days 00:00:00.379798
15,0.739688151538266,COMPLETE,0.03182908215905919,0 days 00:00:00.351043
16,0.7416708619374525,COMPLETE,0.3732166912763873,0 days 00:00:00.377869
17,0.7611221289939825,PRUNED,0.014242963005268424,0 days 00:00:00.108534
18,0.7422256547165013,COMPLETE,0.29731820838102996,0 days 00:00:00.380724
19,0.7029688956691245,PRUNED,0.0011638142281027624,0 days 00:00:00.104684
20,0.7664463090092379,PRUNED,0.025339892678805754,0 days 00:00:00.112713
21,0.7426461988304094,COMPLETE,0.10867392426169926,0 days 00:00:00.377738
22,0.742571446732774,COMPLETE,0.1689387763832727,0 days 00:00:00.375196
23,0.7418076531909484,COMPLETE,0.7092599924179083,0 days 00:00:00.391174
24,0.7592643444359691,PRUNED,0.012887924056109328,0 days 00:00:00.107561
25,0.7416400966183574,COMPLETE,2.28514229929238,0 days 00:00:00.359176
26,0.7427240020340706,COMPLETE,0.1254748934831575,0 days 00:00:00.382832
27,0.7415096618357487,COMPLETE,0.050324964202791055,0 days 00:00:00.365626
28,0.7414801678108315,COMPLETE,0.6264237940234086,0 days 00:00:00.382538
29,0.7417557843885075,COMPLETE,29.4823112135026,0 days 00:00:00.359268
30,0.7485456394609713,PRUNED,0.007776632638375925,0 days 00:00:00.108681
31,0.7428587592168827,COMPLETE,0.1413261476102576,0 days 00:00:00.381250
32,0.7426111111111111,COMPLETE,0.15944144660768744,0 days 00:00:00.376305
33,0.7656792948554964,PRUNED,0.023573543348960436,0 days 00:00:00.110098
34,0.7420232646834477,COMPLETE,1.4255538103436192,0 days 00:00:00.369523
35,0.7418699466056446,COMPLETE,7.620458858994633,0 days 00:00:00.353656
36,0.7417283244342741,COMPLETE,0.35097868402868104,0 days 00:00:00.379736
37,0.7417557843885075,COMPLETE,95.51743658898707,0 days 00:00:00.356948
38,0.7402050597508263,COMPLETE,0.03704236139989128,0 days 00:00:00.354599
39,0.7263666412407831,PRUNED,0.0032459373121125914,0 days 00:00:00.109315
40,0.7427629036359014,COMPLETE,0.14482983961474194,0 days 00:00:00.397034
41,0.7428768115942029,COMPLETE,0.13368862317656174,0 days 00:00:00.377198
42,0.7427245105517417,COMPLETE,0.11612260638254013,0 days 00:00:00.380449
43,0.7417280701754386,COMPLETE,0.3681529577177069,0 days 00:00:00.381341
44,0.7418206203915586,COMPLETE,0.06124338722992445,0 days 00:00:00.361764
45,0.7422228578693109,COMPLETE,0.1907084902351127,0 days 00:00:00.400047
46,0.7416144164759727,COMPLETE,0.539344436322454,0 days 00:00:00.387720
47,0.7425694126620901,COMPLETE,0.07635757453173227,0 days 00:00:00.396232
48,0.7412025171624714,COMPLETE,0.044849846702314566,0 days 00:00:00.381408
49,0.7427049326214086,COMPLETE,0.09359064590028526,0 days 00:00:00.368483
