rank,model,family,roc_auc_mean,roc_auc_std,average_precision_mean,average_precision_std,f1_mean,f1_std,recall_mean,recall_std,precision_mean,precision_std,balanced_accuracy_mean,balanced_accuracy_std,fit_seconds,elapsed_seconds
1,logistic_regression,linear,0.741963259598271,0.0341767915838269,0.5229040245221006,0.0541754137682636,0.5466328189493026,0.040753605006218656,0.6514009661835749,0.05934648415015321,0.4731585798381608,0.04196753569253068,0.6797431985761505,0.03413224351254731,0.03902289867401123,0.21254619999672286
2,svm_rbf,kernel,0.7114979659293159,0.03705024545376476,0.4791970633282111,0.04547668908129472,0.532577493488291,0.03480215359551178,0.6711594202898551,0.057780302240747546,0.44371455586163056,0.03765299526750322,0.6659992372234935,0.03128194835362915,0.16595470905303955,0.46752489999926183
3,gradient_boosting,tree,0.6982124332570556,0.035567393082283676,0.45999841182711343,0.03688191569682165,0.36780354679012844,0.05954153894737419,0.28705314009661836,0.05770381254327931,0.5200515783219232,0.06494774984854627,0.5906394609712687,0.02916781630150273,0.234397029876709,0.5394455000059679
4,xgboost,tree,0.683476353928299,0.0353479132816011,0.4392803113269226,0.041986764462605124,0.36067791435296626,0.05267644545943038,0.28483091787439613,0.048363833817017456,0.5006041288605744,0.07804201222275267,0.5842995169082126,0.028717672731945986,0.1746739149093628,0.4888687999919057
5,hist_gradient_boosting,tree,0.6738071446732774,0.03613502086482739,0.43396880617905464,0.034326758046044396,0.4758484487429208,0.03921103846391889,0.604975845410628,0.06600563194093191,0.3943054661147419,0.036924004445713206,0.6158746503941012,0.03253056344393637,0.30512640476226804,0.6578443000034895
6,lightgbm,tree,0.6689668192219681,0.03411985529562181,0.43484036248236063,0.032480699391985474,0.4640441560720231,0.044212579478779344,0.5789371980676329,0.0717917957599263,0.38930110912120186,0.03820647863107512,0.6076760742435801,0.03567763875441774,0.8655188322067261,1.5267758999980288
7,random_forest,tree,0.6375708110856853,0.02534579211064559,0.4075678931591158,0.030950282853027367,0.4385630978987624,0.035258228765915056,0.5481159420289854,0.061922191993880396,0.3682317598852739,0.03404936597888222,0.5848436308161709,0.030087951538037887,1.0205395221710205,2.4052061999973375
8,knn,neighbors,0.633433638443936,0.033295237624464506,0.38711847642171754,0.03522369960732706,0.36903163750919044,0.06282560628227175,0.30256038647343,0.06964536780967964,0.48608471055997293,0.049367989711564704,0.587493007882024,0.028946073536818117,0.02922210693359375,0.2000873000069987
9,extra_trees,tree,0.6253642257818459,0.032904640829509675,0.3912650420893822,0.03699698880561769,0.430613188232795,0.03686312407860183,0.5371980676328502,0.06409701450026793,0.36145872911358695,0.031882551914307694,0.5785189422832444,0.030300947785536367,0.8353424310684204,1.9045838000020012
10,baseline_majority,dummy,0.5,0.0,0.28500000000000003,0.003061862178478962,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.10857648849487304,5.042831499988097
