rank,model,family,r2_mean,r2_std,neg_root_mean_squared_error_mean,neg_root_mean_squared_error_std,neg_mean_absolute_error_mean,neg_mean_absolute_error_std,fit_seconds,elapsed_seconds
1,ridge,linear,0.8674956596462755,0.018738694032677555,-5.41974320334107,0.266445545768519,-4.349871046103114,0.224216626949722,0.035393142700195314,0.13165440000011586
2,gradient_boosting,tree,0.846302821172413,0.024679802431261624,-5.8297987195379894,0.302523800034652,-4.704417280642,0.23188918332046543,0.17330620288848878,0.37570340000092983
3,xgboost,tree,0.8388095080852509,0.026775686757024224,-5.967798089981079,0.2852014240807697,-4.798023700714111,0.23506071481049198,0.2024765968322754,0.4400115000025835
4,random_forest,tree,0.8346240344532244,0.026834023814848593,-6.046997843167947,0.29690305334358247,-4.843349751984126,0.23232537106953297,1.0546805381774902,2.1811084000073606
5,hist_gradient_boosting,tree,0.8340750259034596,0.021510300679110025,-6.069247262752549,0.27045653701146055,-4.839869152998931,0.20827597260243683,0.3236133337020874,0.7994595000054687
6,lightgbm,tree,0.8269342841980561,0.025733641539166716,-6.193253464682993,0.3152649769282393,-4.909016957670178,0.25179367698219135,1.068965697288513,1.7774196999962442
7,extra_trees,tree,0.8260911046327601,0.029399822393377475,-6.199924754615546,0.2832491246575128,-4.997338541666667,0.20030950591723634,0.8424922943115234,1.9749773999938043
8,svm_rbf,kernel,0.7828745108382351,0.01925625835142403,-6.96218831152167,0.42023232876780964,-5.397931824389923,0.2909074449589962,0.06495158672332764,0.2123336999939056
9,knn,neighbors,0.7824788224942678,0.01781302637746205,-6.967271946503962,0.36571385461710293,-5.597625,0.30105047853308586,0.03724329471588135,0.13985520000278484
10,baseline_mean,dummy,-0.007500283188779444,0.00550320390072863,-15.01693421080632,0.7225736568438497,-11.967095703125,0.7939712145533596,0.03320577144622803,0.2967433000012534
