number,value,state,params_l2_regularization,params_learning_rate,params_max_iter,params_max_leaf_nodes,params_min_samples_leaf,duration
0,0.9599299497488722,COMPLETE,0.0006026889128682511,0.03574712922600244,500,48,38,0 days 00:00:19.135733
1,0.9421739716653608,COMPLETE,0.3470266988650412,0.01699897838270077,75,56,38,0 days 00:00:03.079074
2,0.9685187092525664,COMPLETE,0.0008111941985431928,0.010725209743171996,500,54,16,0 days 00:00:21.644504
3,0.9708120988804751,COMPLETE,0.0028585493941961923,0.018659959624904916,175,36,29,0 days 00:00:06.285380
4,0.9671526079652122,COMPLETE,0.019069966103000432,0.08012737503998542,100,21,25,0 days 00:00:03.940658
5,0.9613015290988889,COMPLETE,0.00017070728830306665,0.14447746112718687,125,35,38,0 days 00:00:04.326696
6,0.9614943488700834,COMPLETE,6.732248920775331,0.07896186801026692,125,7,58,0 days 00:00:03.274585
7,0.9610414478738661,COMPLETE,0.015876781526923997,0.1563510870813346,175,9,43,0 days 00:00:05.049562
8,0.9659520815458389,COMPLETE,0.0019674328025306126,0.015144860262751412,275,6,55,0 days 00:00:06.185855
9,0.9651066707633582,COMPLETE,0.0008399864445957502,0.09519754482692679,175,35,35,0 days 00:00:05.923758
10,0.9668290421757686,COMPLETE,0.02307991775094195,0.018227726925281677,250,37,21,0 days 00:00:08.978891
11,0.951079145506151,PRUNED,0.001770625254166973,0.022026533333644897,50,64,7,0 days 00:00:00.967133
12,0.9564045044555806,PRUNED,0.00027462386658721354,0.012180216288799431,500,64,24,0 days 00:00:06.782571
13,0.9656930232300021,COMPLETE,0.0031258841464899185,0.013809832837854082,300,62,23,0 days 00:00:12.083321
14,0.9587759557695179,PRUNED,0.00013148924783958887,0.011295372731320913,375,33,15,0 days 00:00:06.701033
15,0.9658582605966931,COMPLETE,0.00021635740382858012,0.030705400129338326,400,41,8,0 days 00:00:17.259969
16,0.9701568300945393,COMPLETE,0.0012194081980941556,0.022254797374080062,175,51,11,0 days 00:00:08.749510
17,0.9655496327164309,COMPLETE,0.019071415431821132,0.043193196364872795,125,49,19,0 days 00:00:05.098325
18,0.9658615519438207,COMPLETE,0.04989999866609141,0.030708989470769103,175,33,11,0 days 00:00:07.503219
19,0.9653700592172713,PRUNED,0.0004130447584530426,0.07639809122239842,225,50,19,0 days 00:00:05.007290
20,0.9609396305966154,COMPLETE,0.0014158292208889074,0.02139477977908692,50,48,13,0 days 00:00:02.838154
21,0.9625047224334832,PRUNED,0.0016747573962474756,0.024644391216106742,250,64,8,0 days 00:00:03.648636
22,0.9521784092217086,PRUNED,0.0011325909128651974,0.010393058210132974,375,49,6,0 days 00:00:06.278114
23,0.950091251577391,PRUNED,0.00010474741242373791,0.012604152295279258,225,48,6,0 days 00:00:04.978494
24,0.9629929737759695,PRUNED,0.0014627467538399035,0.016216200418052273,500,52,15,0 days 00:00:06.803551
25,0.9437160567265764,PRUNED,0.0017309684255169178,0.010932701471343488,100,37,5,0 days 00:00:01.945717
26,0.9636798135818133,PRUNED,0.0023172430896430834,0.03225261022793179,450,55,14,0 days 00:00:10.281705
27,0.9611471829793675,PRUNED,0.00103498786723661,0.023807273768011273,375,40,20,0 days 00:00:04.691673
28,0.9553972469679516,PRUNED,0.0005734339242444162,0.012935156674512706,175,44,12,0 days 00:00:02.837314
29,0.9591141447178074,PRUNED,0.00107080020648732,0.011999543183150033,375,62,10,0 days 00:00:05.573853
30,0.9588045898098975,PRUNED,0.0007447487920727012,0.01416710890599964,425,40,13,0 days 00:00:05.556929
31,0.9634599076182696,PRUNED,0.0017368970788682325,0.01387100733471737,375,44,25,0 days 00:00:04.092814
32,0.9683381168458496,COMPLETE,0.007274099527718877,0.014724446731003977,275,52,15,0 days 00:00:10.861829
33,0.9666584201677908,COMPLETE,0.0013722865035407895,0.015316582365700979,300,41,11,0 days 00:00:14.247904
34,0.9692584611382383,COMPLETE,0.010611324970772428,0.020352444908667975,250,51,16,0 days 00:00:13.362751
35,0.9659619409923751,COMPLETE,0.00032470118831267914,0.01027757010109605,300,57,17,0 days 00:00:15.092385
36,0.9684023297613068,COMPLETE,0.002666851571857327,0.019512791973313254,150,49,20,0 days 00:00:07.385776
37,0.9655326130944466,COMPLETE,0.0002509849443682533,0.01391814428928255,200,57,21,0 days 00:00:11.482670
38,0.9634461495325018,PRUNED,0.0005690039127367617,0.0213788524980944,225,56,14,0 days 00:00:03.942632
39,0.9587077064413453,PRUNED,0.0005065052156133078,0.013920691251014906,450,54,22,0 days 00:00:06.927505
40,0.9685422567358263,COMPLETE,0.002377890220110131,0.010351422483272778,400,58,18,0 days 00:00:19.028780
41,0.9629767036761127,PRUNED,0.0004046375544151517,0.015654536593156874,325,61,15,0 days 00:00:04.873501
42,0.9694935641140491,COMPLETE,0.0018912139007666428,0.01651798762340233,425,56,28,0 days 00:00:16.432842
43,0.9653399944266818,COMPLETE,0.002444010363382345,0.010085655585936588,325,58,9,0 days 00:00:17.906405
44,0.9611010686320318,PRUNED,0.0013726754763104605,0.017794779439413922,450,61,20,0 days 00:00:05.382641
45,0.965896678325802,PRUNED,0.0010526710651143998,0.010890171817830563,425,63,27,0 days 00:00:09.705992
46,0.9633012007463431,PRUNED,0.007634050885306214,0.02080004632678282,200,60,10,0 days 00:00:02.834199
47,0.965800169721888,PRUNED,0.007117997399293582,0.01733691892684564,375,48,25,0 days 00:00:04.087277
48,0.962053428029677,PRUNED,0.0009938123890904853,0.012158238406886575,450,53,32,0 days 00:00:04.625679
49,0.9616169383787821,PRUNED,0.007636807204588896,0.02279184503116619,125,61,19,0 days 00:00:01.776911
