rank,model,family,f1_macro_mean,f1_macro_std,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,fit_seconds,elapsed_seconds
1,hist_gradient_boosting,tree,0.9674140366089892,0.008525835101640237,0.96875,0.008838834764831837,0.9674468178914513,0.007871784730833156,0.8408785343170166,1.6006259999994654
2,logistic_regression,linear,0.966788165904739,0.016449700848919287,0.9668750000000002,0.015823736126465197,0.9767077994433254,0.011384228460860362,0.10617606639862061,0.29048550000879914
3,gradient_boosting,tree,0.9667043701851556,0.014034920589428866,0.968125,0.013243512562760682,0.9647896894365452,0.016028160593515244,0.7786218166351319,1.49645020000753
4,lightgbm,tree,0.9663703565197824,0.01523610197766022,0.9675,0.014469796128487797,0.9663289730318898,0.01648802231131535,2.7797771215438845,4.6686447999964
5,xgboost,tree,0.96331666607151,0.013200676918934824,0.9643750000000001,0.013125000000000001,0.9600082162536507,0.013485284449381645,0.3727796792984009,0.7768714999983786
6,random_forest,tree,0.9611056418271303,0.015329758833101736,0.9625,0.013975424859373694,0.962370648695116,0.01516924837014493,1.046505093574524,2.08613849998801
7,extra_trees,tree,0.9534644717036065,0.021160812445602833,0.9549999999999998,0.020501524333570886,0.9451395808893792,0.0252170145500416,0.9707690238952636,2.029799900003127
8,svm_rbf,kernel,0.947349117489734,0.011515223190703337,0.9481249999999999,0.010843344733060927,0.963987951334027,0.009445962429377688,0.12165601253509521,0.3238615000009304
9,knn,neighbors,0.8670239003645079,0.02907301803852661,0.880625,0.023791082888342845,0.8419743854817362,0.0339838378414282,0.054405951499938966,0.2093998000054853
10,baseline_majority,dummy,0.22734641589860444,0.0007255495470983808,0.5175000000000001,0.0025000000000000356,0.33333333333333337,5.551115123125783e-17,0.05603294372558594,0.20335440000053495
